123002	国祯转债	126.200	0.65%	国祯环保	10.44	3.06%	1.99	8.48*	123.11	2.51%	会员	AA	购买	5.94	11.02	5.9%	会员	23-11-24	3.375	4.171	2740.41	5.10%	-4.12%	购买	128.71	
128022	众信转债	154.500	8.80%	众信旅游	11.92	9.96%	4.63	7.91*	150.70	2.52%	会员	AA	购买	5.54	10.28	6.7%	会员	23-12-01	3.395	6.999	128666.87	119.29%	-9.73%	购买	157.02	
113536	三星转债	119.960	-0.98%	三星新材	22.85	-2.18%	3.13	19.54	116.94	2.58%	会员	AA	购买	13.68	25.40	9.4%	会员	25-05-30	4.890	1.914	337.63	1.46%	-0.91%	购买	122.54	
113525	台华转债	116.000	-3.13%	台华新材	9.08	-1.30%	2.60	8.03	113.08	2.58%	会员	AA	购买	5.62	10.44	7.7%	会员	24-12-16	4.438	5.329	2908.03	4.67%	-0.22%	购买	118.58	
128039	三力转债	119.000	-3.01%	三力士	6.75	-2.88%	2.11	5.83*	115.78	2.78%	会员	AA-	购买	4.08	7.58	4.1%	会员	24-06-07	3.912	2.027	2471.99	10.00%	-2.07%	购买	121.78	
113561	正裕转债	116.680	-0.09%	正裕工业	11.60	0.87%	2.86	10.23	113.39	2.90%	会员	A+	购买	7.16	13.30	12.0%	会员	25-12-30	5.477	2.899	1395.34	4.12%	0.29%	购买	119.58	
123047	久吾转债	122.999	-1.45%	久吾高科	21.00	-2.01%	3.04	17.61	119.25	3.14%	会员	A+	购买	12.33	22.89	11.5%	-	26-03-19	5.693	2.540	539.47	1.71%	1.02%	购买	126.14	
128075	远东转债	128.038	-1.52%	远东传动	7.18	0.70%	1.37	5.79	124.01	3.25%	会员	AA	购买	4.05	7.53	22.2%	会员	25-09-23	5.208	8.935	778.90	0.67%	-2.05%	购买	131.29	
128094	星帅转债	119.380	-2.14%	星帅尔	16.10	-3.19%	3.34	13.95	115.41	3.44%	会员	A+	购买	9.77	18.14	8.7%	-	26-01-16	5.523	2.800	1215.37	3.60%	0.33%	购买	122.82	
128082	华锋转债	115.200	-0.38%	华锋股份	13.01	0.23%	1.70	11.71*	111.10	3.69%	会员	A+	购买	8.20	15.22	15.4%	-	25-12-03	5.403	3.520	1561.89	3.84%	1.09%	购买	118.89	
128021	兄弟转债	122.180	-2.26%	兄弟科技	6.18	-1.90%	2.50	5.25*	117.71	3.80%	会员	AA	购买	3.67	6.83	9.1%	会员	23-11-28	3.386	5.048	1756.26	2.80%	-3.16%	购买	125.98	
123051	今天转债	116.599	-0.52%	今天国际	9.88	-1.79%	3.59	8.80	112.27	3.86%	会员	A+	购买	6.16	11.44	10.4%	-	26-06-03	5.901	2.800	2034.45	6.16%	0.90%	购买	120.46	
110060	天路转债	126.570	3.03%	西藏天路 R	8.81	5.89%	2.12	7.24	121.69	4.01%	会员	AA	购买	5.07	9.41	14.3%	会员	25-10-27	5.301	10.868	20646.53	14.96%	-1.78%	购买	130.58	
113585	寿仙转债	120.660	-2.04%	寿仙谷	33.27	-2.26%	3.94	28.68	116.00	4.02%	会员	AA-	购买	20.08	37.28	7.5%	-	26-06-08	5.915	3.600	5861.21	13.33%	-0.41%	购买	124.68	
128089	麦米转债	144.151	-2.20%	麦格米特	27.90	-4.84%	6.00	20.15	138.46	4.11%	会员	AA-	购买	14.11	26.20	5.0%	会员	25-12-25	5.463	6.544	2452.05	2.59%	-4.39%	购买	148.26	
123026	中环转债	119.889	-0.18%	中环环保	14.09	-2.15%	2.45	12.25	115.02	4.23%	会员	AA-	购买	8.57	15.93	10.0%	会员	24-06-10	3.921	2.320	1576.25	5.66%	-2.07%	购买	124.12	
128085	鸿达转债	113.500	-0.44%	鸿达兴业 R	4.33	0.00%	1.50	3.98	108.79	4.33%	会员	AA	购买	2.79	5.17	21.6%	会员	25-12-16	5.438	24.266	5619.18	2.03%	1.80%	购买	117.83	
123052	飞鹿转债	114.422	-0.16%	飞鹿股份	10.84	0.46%	2.97	9.90	109.49	4.50%	会员	A+	购买	6.93	12.87	13.4%	-	26-06-04	5.904	1.770	2019.20	9.92%	1.87%	购买	118.92	
113545	金能转债	126.600	-2.94%	金能科技 R	13.81	-3.49%	1.53	11.40	121.14	4.51%	会员	AA	购买	7.98	14.82	16.1%	会员	25-10-13	5.263	15.000	2286.03	1.18%	-1.80%	购买	131.11	
123043	正元转债	118.000	停牌	正元智慧	17.38	3.33%	3.46	15.41	112.78	4.63%	会员	A+	购买	10.79	20.03	7.9%	-	26-03-04	5.652	1.750	0.00	0.00%	0.52%	购买	122.63	
110051	中天转债	136.570	-3.05%	中天科技 R	13.30	-3.20%	1.91	10.19	130.52	4.64%	会员	AA+	购买	7.13	13.25	9.7%	会员	25-02-28	4.641	39.643	12110.59	2.19%	-3.91%	购买	141.21	
128013	洪涛转债	113.380	0.16%	洪涛股份 R	3.38	0.00%	1.35	3.12**	108.33	4.66%	会员	AA-	购买	2.18	4.06	28.4%	会员	22-07-29	2.052	11.999	7268.54	5.31%	-0.92%	购买	118.04	
123025	精测转债	175.800	-0.97%	精测电子 R	83.69	-1.65%	14.11	49.95	167.55	4.92%	会员	AA-	购买	34.97	64.94	1.5%	会员	25-03-28	4.718	3.095	21882.38	39.71%	-8.36%	购买	180.72	
113541	荣晟转债	115.710	-1.74%	荣晟环保	12.71	-2.23%	2.08	11.54*	110.14	5.06%	会员	AA-	购买	8.08	15.00	10.5%	会员	25-07-22	5.036	3.299	798.78	2.08%	-0.04%	购买	120.77	
110055	伊力转债	131.820	2.23%	伊力特 R	21.08	2.83%	3.21	16.81	125.40	5.12%	会员	AA	购买	11.77	21.85	9.5%	会员	25-03-15	4.682	8.741	10318.52	8.86%	-2.93%	购买	136.94	
128066	亚泰转债	115.653	-1.57%	郑中设计	10.61	-2.30%	1.75	9.67*	109.72	5.41%	会员	AA-	购买	6.77	12.57	16.7%	会员	25-04-17	4.773	4.798	354.67	0.63%	0.34%	购买	121.06	
128045	机电转债	140.000	-5.33%	中航机电 R	10.13	-4.97%	3.74	7.63	132.77	5.45%	会员	AAA	购买	5.34	9.92	5.7%	会员	24-08-27	4.134	20.997	3092.34	1.03%	-5.82%	购买	145.45	
113555	振德转债	713.610	-6.34%	振德医疗	94.51	10.00%	13.02	14.01	674.59	5.78%	会员	AA-	购买	9.81	18.21	2.1%	-	25-12-18	5.444	3.953	272814.90	94.10%	-27.76%	购买	719.39	
128111	中矿转债	127.000	-3.20%	中矿资源	18.63	-5.77%	1.94	15.53	119.96	5.87%	会员	AA-	购买	10.87	20.19	15.5%	-	26-06-10	5.921	8.000	11733.17	11.40%	-0.32%	购买	132.87	
